0,34.43,314.0,30.0,0.0,5.0,2.6,-12.0,-1.2,9.0,2.0,26.0,0.0,0.0,3.9,127.7,0.7,97.7,78.0,11.0,0.0,0.0,25,1,1,SANCRP512,1.0,1.0,747.0,64.0,60.0,No,No,No,Yes,Yes,Known,No,Yes,Yes,No,No,No,0,0,No,No,0,5,No,0,Unknown,No,2-High,Rural,Professional,Yes
0,30.0,153.0,30.0,0.0,0.0,0.0,10.0,0.0,0.7,0.0,1.3,0.0,0.0,1.2,0.3,0.0,11.3,5.7,0.7,0.0,0.0,33,1,1,DENDEN303,1.0,1.0,983.0,42.0,0.0,No,No,Yes,Yes,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,4,Yes,1,Unknown,No,3-Good,Other,Other,No
1,61.11,328.0,57.0,0.99,22.0,0.0,-328.0,-6.5,6.7,15.0,14.0,1.7,0.0,63.1,23.3,10.0,60.3,13.0,21.7,0.0,1.0,27,2,2,SANSAN210,2.0,2.0,324.0,42.0,26.0,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,5,No,0,30,No,3-Good,Rural,Professional,Yes
1,14.31,350.0,10.0,0.0,1.0,0.0,-150.0,-0.3,0.0,0.0,1.7,0.0,0.0,21.4,2.0,0.0,10.7,12.0,0.0,0.0,0.0,16,3,3,HOUHOU281,1.0,1.0,485.0,52.0,18.0,Yes,No,Yes,Yes,Yes,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,7,No,0,Unknown,No,2-High,Other,Homemaker,Yes
0,30.25,174.0,30.0,0.25,0.0,0.0,56.0,-0.2,2.3,1.0,9.0,0.0,0.0,45.0,7.3,6.3,30.7,23.0,3.3,0.0,0.3,26,1,1,FLNJAC904,2.0,2.0,306.0,60.0,58.0,Yes,No,Yes,Yes,Yes,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,8,No,0,30,No,2-High,Other,Professional,Yes
0,182.74,2584.0,96.0,1.49,397.0,0.0,-2496.0,-192.4,65.7,7.0,388.0,11.7,10.0,806.3,166.3,96.7,1089.3,1190.7,72.7,0.0,123.3,14,1,1,PITHOM412,6.0,3.0,54.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,1,5,No,0,130,No,4-Medium,Other,Other,No
1,43.99,259.0,50.0,0.0,0.0,0.0,-15.0,0.0,3.0,0.0,7.0,0.0,0.0,86.4,9.3,2.3,57.3,15.3,3.0,0.0,0.3,12,1,1,APCFCH703,1.0,1.0,367.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,1,0,No,0,Unknown,No,5-Low,Other,Other,Unknown
0,61.11,1141.0,66.0,2.72,11.0,0.0,766.0,2.4,15.7,1.7,97.7,19.0,0.3,104.9,68.3,26.3,150.7,168.3,17.3,0.0,0.3,8,1,1,APCFCH703,1.0,1.0,214.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,0,Unknown,No,5-Low,Suburban,Other,Unknown
0,45.21,607.0,20.0,0.25,2.0,0.0,-607.0,-45.2,7.3,4.0,42.7,23.7,0.0,157.0,60.0,21.7,192.0,136.0,11.3,0.0,3.0,10,1,1,MILKEN414,2.0,2.0,125.0,50.0,46.0,Yes,Yes,Yes,No,No,Known,No,No,No,No,Yes,Yes,0,0,No,No,0,5,No,0,150,No,4-Medium,Suburban,Other,Yes
0,51.04,418.0,50.0,0.0,0.0,0.0,33.0,1.4,3.3,12.0,53.3,0.0,0.0,98.2,8.7,28.7,84.0,83.7,15.3,0.0,0.3,13,1,1,DALFTW817,1.0,1.0,386.0,34.0,32.0,No,Yes,No,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,4,No,0,Unknown,No,5-Low,Other,Other,Yes
0,110.15,408.0,74.0,0.25,12.0,1.3,123.0,-51.1,4.7,2.7,9.7,0.0,0.0,68.0,18.3,3.0,41.7,36.3,7.3,0.0,0.3,26,1,1,OHICOL614,3.0,3.0,206.0,32.0,0.0,No,Yes,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,5,No,0,130,No,2-High,Other,Professional,Yes
0,66.36,234.0,70.0,0.0,21.0,0.0,170.0,17.6,3.0,0.3,6.7,0.0,0.3,90.2,16.3,15.7,55.3,11.3,3.3,0.0,0.0,9,2,2,LAXSBN909,2.0,1.0,269.0,34.0,0.0,Yes,No,Yes,No,No,Known,No,Yes,No,No,No,Yes,0,0,No,No,0,3,No,0,150,No,2-High,Suburban,Crafts,No
